t,y,error,u
0.000000,0.000000,1.000000,-6.000000
0.010000,-0.000298,1.000000,-6.000000
0.020000,-0.001184,1.000298,-6.000000
0.030000,-0.002649,1.001184,-6.000000
0.040000,-0.004684,1.002649,-6.000000
0.050000,-0.007282,1.004684,-6.000000
0.060000,-0.010433,1.007282,-6.000000
0.070000,-0.014128,1.010433,-6.000000
0.080000,-0.018360,1.014128,-6.000000
0.090000,-0.023120,1.018360,-6.000000
0.100000,-0.028400,1.023120,-6.000000
0.110000,-0.034191,1.028400,-6.000000
0.120000,-0.040485,1.034191,-6.000000
0.130000,-0.047274,1.040485,-6.000000
0.140000,-0.054550,1.047274,-6.000000
0.150000,-0.062304,1.054550,-6.000000
0.160000,-0.070530,1.062304,-6.000000
0.170000,-0.079220,1.070530,-6.000000
0.180000,-0.088364,1.079220,-6.000000
0.190000,-0.097956,1.088364,-6.000000
0.200000,-0.107988,1.097956,-6.000000
0.210000,-0.118453,1.107988,-6.000000
0.220000,-0.129342,1.118453,-6.000000
0.230000,-0.140648,1.129342,-6.000000
0.240000,-0.152365,1.140648,-6.000000
0.250000,-0.164484,1.152365,-6.000000
0.260000,-0.176998,1.164484,-6.000000
0.270000,-0.189901,1.176998,-6.000000
0.280000,-0.203184,1.189901,-6.000000
0.290000,-0.216841,1.203184,-6.000000
0.300000,-0.230865,1.216841,-6.000000
0.310000,-0.245249,1.230865,-6.000000
0.320000,-0.259985,1.245249,-6.000000
0.330000,-0.275068,1.259985,-6.000000
0.340000,-0.290490,1.275068,-6.000000
0.350000,-0.306245,1.290490,-6.000000
0.360000,-0.322326,1.306245,-6.000000
0.370000,-0.338726,1.322326,-6.000000
0.380000,-0.355439,1.338726,-6.000000
0.390000,-0.372458,1.355439,-6.000000
0.400000,-0.389777,1.372458,-6.000000
0.410000,-0.407390,1.389777,-6.000000
0.420000,-0.425290,1.407390,-6.000000
0.430000,-0.443472,1.425290,-6.000000
0.440000,-0.461928,1.443472,-6.000000
0.450000,-0.480653,1.461928,-6.000000
0.460000,-0.499642,1.480653,-6.000000
0.470000,-0.518887,1.499642,-6.000000
0.480000,-0.538383,1.518887,-6.000000
0.490000,-0.558124,1.538383,-6.000000
0.500000,-0.578104,1.558124,-6.000000
0.510000,-0.598319,1.578104,-6.000000
0.520000,-0.618761,1.598319,-6.000000
0.530000,-0.639425,1.618761,-6.000000
0.540000,-0.660306,1.639425,-6.000000
0.550000,-0.681398,1.660306,-6.000000
0.560000,-0.702696,1.681398,-6.000000
0.570000,-0.724195,1.702696,-6.000000
0.580000,-0.745889,1.724195,-6.000000
0.590000,-0.767772,1.745889,-6.000000
0.600000,-0.789840,1.767772,-6.000000
0.610000,-0.812088,1.789840,-6.000000
0.620000,-0.834510,1.812088,-6.000000
0.630000,-0.857101,1.834510,-6.000000
0.640000,-0.879856,1.857101,-6.000000
0.650000,-0.902771,1.879856,-6.000000
0.660000,-0.925840,1.902771,-6.000000
0.670000,-0.949060,1.925840,-6.000000
0.680000,-0.972424,1.949060,-6.000000
0.690000,-0.995928,1.972424,-6.000000
0.700000,-1.019568,1.995928,-6.000000
0.710000,-1.043338,2.019568,-6.000000
0.720000,-1.067235,2.043338,-6.000000
