t,y,error,u
0.000000,0.000000,1.000000,10.000000
0.010000,0.000496,1.000000,5.459893
0.020000,0.001747,0.999504,3.715583
0.030000,0.003432,0.998253,2.254483
0.040000,0.005386,0.996568,1.034009
0.050000,0.007473,0.994614,0.016401
0.060000,0.009580,0.992527,-0.830167
0.070000,0.011614,0.990420,-1.532521
0.080000,0.013500,0.988386,-2.113274
0.090000,0.015176,0.986500,-2.591484
0.100000,0.016594,0.984824,-2.983219
0.110000,0.017713,0.983406,-3.302023
0.120000,0.018503,0.982287,-3.559314
0.130000,0.018941,0.981497,-3.764719
0.140000,0.019009,0.981059,-3.926352
0.150000,0.018694,0.980991,-4.051057
0.160000,0.017987,0.981306,-4.144604
0.170000,0.016885,0.982013,-4.211859
0.180000,0.015384,0.983115,-4.256927
0.190000,0.013485,0.984616,-4.283269
0.200000,0.011191,0.986515,-4.293805
0.210000,0.008507,0.988809,-4.291001
0.220000,0.005437,0.991493,-4.276935
0.230000,0.001989,0.994563,-4.253364
0.240000,-0.001829,0.998011,-4.221770
0.250000,-0.006009,1.001829,-4.183405
0.260000,-0.010542,1.006009,-4.139327
0.270000,-0.015417,1.010542,-4.090431
0.280000,-0.020625,1.015417,-4.037473
0.290000,-0.026155,1.020625,-3.981095
0.300000,-0.031997,1.026155,-3.921837
0.310000,-0.038139,1.031997,-3.860161
0.320000,-0.044570,1.038139,-3.796455
0.330000,-0.051279,1.044570,-3.731052
0.340000,-0.058255,1.051279,-3.664233
0.350000,-0.065486,1.058255,-3.596238
0.360000,-0.072962,1.065486,-3.527271
0.370000,-0.080671,1.072962,-3.457508
0.380000,-0.088602,1.080671,-3.387099
0.390000,-0.096744,1.088602,-3.316172
0.400000,-0.105086,1.096744,-3.244838
0.410000,-0.113618,1.105086,-3.173193
0.420000,-0.122327,1.113618,-3.101319
0.430000,-0.131204,1.122327,-3.029289
0.440000,-0.140238,1.131204,-2.957166
0.450000,-0.149419,1.140238,-2.885005
0.460000,-0.158736,1.149419,-2.812855
0.470000,-0.168179,1.158736,-2.740759
0.480000,-0.177738,1.168179,-2.668755
0.490000,-0.187404,1.177738,-2.596878
0.500000,-0.197166,1.187404,-2.525159
0.510000,-0.207015,1.197166,-2.453626
0.520000,-0.216941,1.207015,-2.382304
0.530000,-0.226936,1.216941,-2.311218
0.540000,-0.236990,1.226936,-2.240388
0.550000,-0.247093,1.236990,-2.169835
0.560000,-0.257238,1.247093,-2.099578
0.570000,-0.267416,1.257238,-2.029634
0.580000,-0.277617,1.267416,-1.960019
0.590000,-0.287834,1.277617,-1.890749
0.600000,-0.298059,1.287834,-1.821840
0.610000,-0.308283,1.298059,-1.753304
0.620000,-0.318498,1.308283,-1.685155
0.630000,-0.328697,1.318498,-1.617406
0.640000,-0.338873,1.328697,-1.550070
0.650000,-0.349017,1.338873,-1.483158
0.660000,-0.359122,1.349017,-1.416682
0.670000,-0.369182,1.359122,-1.350652
0.680000,-0.379189,1.369182,-1.285079
0.690000,-0.389137,1.379189,-1.219974
0.700000,-0.399018,1.389137,-1.155346
0.710000,-0.408827,1.399018,-1.091206
0.720000,-0.418557,1.408827,-1.027561
0.730000,-0.428201,1.418557,-0.964422
0.740000,-0.437754,1.428201,-0.901797
0.750000,-0.447210,1.437754,-0.839694
0.760000,-0.456563,1.447210,-0.778122
0.770000,-0.465808,1.456563,-0.717088
0.780000,-0.474938,1.465808,-0.656601
0.790000,-0.483949,1.474938,-0.596667
0.800000,-0.492835,1.483949,-0.537294
0.810000,-0.501592,1.492835,-0.478489
0.820000,-0.510215,1.501592,-0.420258
0.830000,-0.518698,1.510215,-0.362608
0.840000,-0.527037,1.518698,-0.305545
0.850000,-0.535228,1.527037,-0.249076
0.860000,-0.543267,1.535228,-0.193205
0.870000,-0.551149,1.543267,-0.137939
0.880000,-0.558870,1.551149,-0.083282
0.890000,-0.566426,1.558870,-0.029241
0.900000,-0.573814,1.566426,0.024181
0.910000,-0.581030,1.573814,0.076979
0.920000,-0.588070,1.581030,0.129147
0.930000,-0.594931,1.588070,0.180683
0.940000,-0.601610,1.594931,0.231582
0.950000,-0.608104,1.601610,0.281839
0.960000,-0.614410,1.608104,0.331453
0.970000,-0.620524,1.614410,0.380418
0.980000,-0.626445,1.620524,0.428733
0.990000,-0.632169,1.626445,0.476393
1.000000,-0.637695,1.632169,0.523397
1.010000,-0.643019,1.637695,0.569742
1.020000,-0.648140,1.643019,0.615425
1.030000,-0.653056,1.648140,0.660444
1.040000,-0.657764,1.653056,0.704797
1.050000,-0.662262,1.657764,0.748482
1.060000,-0.666550,1.662262,0.791499
1.070000,-0.670624,1.666550,0.833845
1.080000,-0.674485,1.670624,0.875519
1.090000,-0.678130,1.674485,0.916520
1.100000,-0.681557,1.678130,0.956848
1.110000,-0.684767,1.681557,0.996501
1.120000,-0.687758,1.684767,1.035480
1.130000,-0.690528,1.687758,1.073783
1.140000,-0.693077,1.690528,1.111412
1.150000,-0.695405,1.693077,1.148365
1.160000,-0.697510,1.695405,1.184644
1.170000,-0.699392,1.697510,1.220248
1.180000,-0.701050,1.699392,1.255178
1.190000,-0.702485,1.701050,1.289434
1.200000,-0.703695,1.702485,1.323019
1.210000,-0.704681,1.703695,1.355932
1.220000,-0.705443,1.704681,1.388176
1.230000,-0.705980,1.705443,1.419750
1.240000,-0.706293,1.705980,1.450658
1.250000,-0.706383,1.706293,1.480900
1.260000,-0.706248,1.706383,1.510478
1.270000,-0.705890,1.706248,1.539395
1.280000,-0.705309,1.705890,1.567652
1.290000,-0.704505,1.705309,1.595252
1.300000,-0.703480,1.704505,1.622197
1.310000,-0.702234,1.703480,1.648490
1.320000,-0.700767,1.702234,1.674133
1.330000,-0.699081,1.700767,1.699129
1.340000,-0.697176,1.699081,1.723482
1.350000,-0.695054,1.697176,1.747193
1.360000,-0.692715,1.695054,1.770267
1.370000,-0.690161,1.692715,1.792706
1.380000,-0.687393,1.690161,1.814515
1.390000,-0.684412,1.687393,1.835696
1.400000,-0.681220,1.684412,1.856254
1.410000,-0.677818,1.681220,1.876192
1.420000,-0.674207,1.677818,1.895514
1.430000,-0.670389,1.674207,1.914224
1.440000,-0.666365,1.670389,1.932326
1.450000,-0.662138,1.666365,1.949824
1.460000,-0.657709,1.662138,1.966724
1.470000,-0.653080,1.657709,1.983028
1.480000,-0.648252,1.653080,1.998742
1.490000,-0.643227,1.648252,2.013870
1.500000,-0.638008,1.643227,2.028417
1.510000,-0.632596,1.638008,2.042388
1.520000,-0.626994,1.632596,2.055788
1.530000,-0.621203,1.626994,2.068621
1.540000,-0.615226,1.621203,2.080893
1.550000,-0.609064,1.615226,2.092609
1.560000,-0.602721,1.609064,2.103773
1.570000,-0.596198,1.602721,2.114392
1.580000,-0.589497,1.596198,2.124471
1.590000,-0.582621,1.589497,2.134014
1.600000,-0.575573,1.582621,2.143029
1.610000,-0.568354,1.575573,2.151519
1.620000,-0.560968,1.568354,2.159491
1.630000,-0.553415,1.560968,2.166950
1.640000,-0.545701,1.553415,2.173903
1.650000,-0.537825,1.545701,2.180355
1.660000,-0.529792,1.537825,2.186311
1.670000,-0.521604,1.529792,2.191779
1.680000,-0.513263,1.521604,2.196762
1.690000,-0.504773,1.513263,2.201269
1.700000,-0.496135,1.504773,2.205304
1.710000,-0.487353,1.496135,2.208875
1.720000,-0.478429,1.487353,2.211986
1.730000,-0.469366,1.478429,2.214644
1.740000,-0.460167,1.469366,2.216856
1.750000,-0.450834,1.460167,2.218628
1.760000,-0.441370,1.450834,2.219965
1.770000,-0.431779,1.441370,2.220874
1.780000,-0.422063,1.431779,2.221362
1.790000,-0.412225,1.422063,2.221435
1.800000,-0.402267,1.412225,2.221100
1.810000,-0.392193,1.402267,2.220362
1.820000,-0.382005,1.392193,2.219228
1.830000,-0.371707,1.382005,2.217705
1.840000,-0.361301,1.371707,2.215798
1.850000,-0.350790,1.361301,2.213516
1.860000,-0.340177,1.350790,2.210863
1.870000,-0.329465,1.340177,2.207847
1.880000,-0.318658,1.329465,2.204474
1.890000,-0.307756,1.318658,2.200750
1.900000,-0.296765,1.307756,2.196683
1.910000,-0.285686,1.296765,2.192278
1.920000,-0.274523,1.285686,2.187542
1.930000,-0.263279,1.274523,2.182482
1.940000,-0.251956,1.263279,2.177104
1.950000,-0.240557,1.251956,2.171415
1.960000,-0.229086,1.240557,2.165421
1.970000,-0.217545,1.229086,2.159129
1.980000,-0.205937,1.217545,2.152545
1.990000,-0.194265,1.205937,2.145675
2.000000,-0.182532,1.194265,2.138527
2.010000,-0.170741,1.182532,2.131107
2.020000,-0.158894,1.170741,2.123420
2.030000,-0.146995,1.158894,2.115474
2.040000,-0.135046,1.146995,2.107275
2.050000,-0.123051,1.135046,2.098830
