t,y,error,u
0.000000,0.000000,1.000000,6.533701
0.010000,0.000324,1.000000,5.695893
0.020000,0.001247,0.999676,5.001282
0.030000,0.002685,0.998753,4.423725
0.040000,0.004565,0.997315,3.943785
0.050000,0.006831,0.995435,3.545251
0.060000,0.009432,0.993169,3.212486
0.070000,0.012327,0.990568,2.932694
0.080000,0.015482,0.987673,2.697482
0.090000,0.018866,0.984518,2.499777
0.100000,0.022454,0.981134,2.333623
0.110000,0.026226,0.977546,2.194004
0.120000,0.030162,0.973774,2.076694
0.130000,0.034248,0.969838,1.978140
0.140000,0.038470,0.965752,1.895350
0.150000,0.042816,0.961530,1.825808
0.160000,0.047277,0.957184,1.767396
0.170000,0.051845,0.952723,1.718334
0.180000,0.056511,0.948155,1.677123
0.190000,0.061270,0.943489,1.642502
0.200000,0.066116,0.938730,1.613410
0.210000,0.071043,0.933884,1.588956
0.220000,0.076048,0.928957,1.568387
0.230000,0.081127,0.923952,1.551074
0.240000,0.086275,0.918873,1.536485
0.250000,0.091491,0.913725,1.524173
0.260000,0.096770,0.908509,1.513763
0.270000,0.102111,0.903230,1.504939
0.280000,0.107510,0.897889,1.497435
0.290000,0.112966,0.892490,1.491028
0.300000,0.118477,0.887034,1.485531
0.310000,0.124040,0.881523,1.480785
0.320000,0.129654,0.875960,1.476659
0.330000,0.135316,0.870346,1.473042
0.340000,0.141026,0.864684,1.469838
0.350000,0.146781,0.858974,1.466972
0.360000,0.152580,0.853219,1.464376
0.370000,0.158421,0.847420,1.461995
0.380000,0.164303,0.841579,1.459784
0.390000,0.170224,0.835697,1.457703
0.400000,0.176182,0.829776,1.455721
0.410000,0.182178,0.823818,1.453810
0.420000,0.188208,0.817822,1.451949
0.430000,0.194272,0.811792,1.450117
0.440000,0.200368,0.805728,1.448300
0.450000,0.206495,0.799632,1.446485
0.460000,0.212652,0.793505,1.444661
0.470000,0.218837,0.787348,1.442819
0.480000,0.225049,0.781163,1.440953
0.490000,0.231287,0.774951,1.439056
0.500000,0.237550,0.768713,1.437124
0.510000,0.243836,0.762450,1.435153
0.520000,0.250144,0.756164,1.433140
0.530000,0.256473,0.749856,1.431083
0.540000,0.262821,0.743527,1.428980
0.550000,0.269188,0.737179,1.426829
0.560000,0.275573,0.730812,1.424631
0.570000,0.281973,0.724427,1.422383
0.580000,0.288389,0.718027,1.420087
0.590000,0.294818,0.711611,1.417742
0.600000,0.301260,0.705182,1.415349
0.610000,0.307713,0.698740,1.412907
0.620000,0.314177,0.692287,1.410417
0.630000,0.320650,0.685823,1.407880
0.640000,0.327131,0.679350,1.405296
0.650000,0.333620,0.672869,1.402666
0.660000,0.340114,0.666380,1.399992
0.670000,0.346614,0.659886,1.397273
0.680000,0.353117,0.653386,1.394511
0.690000,0.359624,0.646883,1.391707
0.700000,0.366132,0.640376,1.388861
0.710000,0.372641,0.633868,1.385975
0.720000,0.379149,0.627359,1.383050
0.730000,0.385657,0.620851,1.380087
0.740000,0.392162,0.614343,1.377087
0.750000,0.398665,0.607838,1.374050
0.760000,0.405163,0.601335,1.370979
0.770000,0.411656,0.594837,1.367874
0.780000,0.418143,0.588344,1.364736
0.790000,0.424623,0.581857,1.361566
0.800000,0.431095,0.575377,1.358365
0.810000,0.437559,0.568905,1.355135
0.820000,0.444012,0.562441,1.351876
0.830000,0.450455,0.555988,1.348590
0.840000,0.456887,0.549545,1.345277
0.850000,0.463307,0.543113,1.341939
0.860000,0.469713,0.536693,1.338577
0.870000,0.476105,0.530287,1.335191
0.880000,0.482483,0.523895,1.331783
0.890000,0.488844,0.517517,1.328354
0.900000,0.495190,0.511156,1.324904
0.910000,0.501518,0.504810,1.321435
0.920000,0.507828,0.498482,1.317948
0.930000,0.514119,0.492172,1.314443
0.940000,0.520391,0.485881,1.310923
0.950000,0.526642,0.479609,1.307387
0.960000,0.532872,0.473358,1.303836
0.970000,0.539081,0.467128,1.300272
0.980000,0.545267,0.460919,1.296696
0.990000,0.551430,0.454733,1.293108
1.000000,0.557569,0.448570,1.289510
1.010000,0.563683,0.442431,1.285901
1.020000,0.569772,0.436317,1.282284
1.030000,0.575836,0.430228,1.278659
1.040000,0.581873,0.424164,1.275027
1.050000,0.587882,0.418127,1.271389
1.060000,0.593864,0.412118,1.267746
1.070000,0.599818,0.406136,1.264098
1.080000,0.605742,0.400182,1.260447
1.090000,0.611637,0.394258,1.256793
1.100000,0.617502,0.388363,1.253136
1.110000,0.623337,0.382498,1.249479
1.120000,0.629140,0.376663,1.245822
1.130000,0.634911,0.370860,1.242165
1.140000,0.640650,0.365089,1.238509
1.150000,0.646356,0.359350,1.234855
1.160000,0.652029,0.353644,1.231204
1.170000,0.657668,0.347971,1.227557
1.180000,0.663273,0.342332,1.223914
1.190000,0.668843,0.336727,1.220276
1.200000,0.674377,0.331157,1.216644
1.210000,0.679876,0.325623,1.213018
1.220000,0.685339,0.320124,1.209400
1.230000,0.690766,0.314661,1.205789
1.240000,0.696155,0.309234,1.202187
1.250000,0.701508,0.303845,1.198594
1.260000,0.706822,0.298492,1.195011
1.270000,0.712098,0.293178,1.191438
1.280000,0.717336,0.287902,1.187877
1.290000,0.722535,0.282664,1.184327
1.300000,0.727695,0.277465,1.180790
1.310000,0.732815,0.272305,1.177266
1.320000,0.737896,0.267185,1.173756
1.330000,0.742936,0.262104,1.170259
1.340000,0.747936,0.257064,1.166778
1.350000,0.752895,0.252064,1.163312
1.360000,0.757813,0.247105,1.159862
1.370000,0.762689,0.242187,1.156428
1.380000,0.767524,0.237311,1.153011
1.390000,0.772317,0.232476,1.149612
1.400000,0.777068,0.227683,1.146231
1.410000,0.781777,0.222932,1.142868
1.420000,0.786443,0.218223,1.139525
1.430000,0.791067,0.213557,1.136201
1.440000,0.795647,0.208933,1.132897
1.450000,0.800184,0.204353,1.129613
1.460000,0.804678,0.199816,1.126351
1.470000,0.809128,0.195322,1.123109
1.480000,0.813535,0.190872,1.119890
1.490000,0.817897,0.186465,1.116693
1.500000,0.822216,0.182103,1.113519
1.510000,0.826490,0.177784,1.110367
1.520000,0.830721,0.173510,1.107239
1.530000,0.834906,0.169279,1.104135
1.540000,0.839048,0.165094,1.101056
1.550000,0.843144,0.160952,1.098000
1.560000,0.847196,0.156856,1.094970
1.570000,0.851203,0.152804,1.091965
1.580000,0.855166,0.148797,1.088986
1.590000,0.859083,0.144834,1.086033
1.600000,0.862955,0.140917,1.083106
1.610000,0.866782,0.137045,1.080206
1.620000,0.870565,0.133218,1.077332
1.630000,0.874302,0.129435,1.074486
1.640000,0.877993,0.125698,1.071668
1.650000,0.881640,0.122007,1.068877
1.660000,0.885242,0.118360,1.066114
1.670000,0.888798,0.114758,1.063380
1.680000,0.892309,0.111202,1.060674
1.690000,0.895775,0.107691,1.057997
1.700000,0.899196,0.104225,1.055349
1.710000,0.902571,0.100804,1.052730
1.720000,0.905902,0.097429,1.050141
1.730000,0.909187,0.094098,1.047581
1.740000,0.912428,0.090813,1.045051
1.750000,0.915623,0.087572,1.042552
1.760000,0.918774,0.084377,1.040082
1.770000,0.921880,0.081226,1.037643
1.780000,0.924941,0.078120,1.035235
1.790000,0.927958,0.075059,1.032857
1.800000,0.930930,0.072042,1.030510
1.810000,0.933857,0.069070,1.028195
1.820000,0.936740,0.066143,1.025910
1.830000,0.939579,0.063260,1.023657
1.840000,0.942374,0.060421,1.021435
1.850000,0.945125,0.057626,1.019245
1.860000,0.947832,0.054875,1.017086
1.870000,0.950495,0.052168,1.014959
1.880000,0.953115,0.049505,1.012864
1.890000,0.955691,0.046885,1.010801
1.900000,0.958224,0.044309,1.008769
1.910000,0.960714,0.041776,1.006770
1.920000,0.963161,0.039286,1.004803
1.930000,0.965565,0.036839,1.002868
1.940000,0.967926,0.034435,1.000965
1.950000,0.970245,0.032074,0.999094
1.960000,0.972522,0.029755,0.997255
1.970000,0.974757,0.027478,0.995449
1.980000,0.976950,0.025243,0.993675
1.990000,0.979101,0.023050,0.991934
2.000000,0.981211,0.020899,0.990224
2.010000,0.983279,0.018789,0.988547
2.020000,0.985306,0.016721,0.986902
2.030000,0.987293,0.014694,0.985290
2.040000,0.989239,0.012707,0.983709
2.050000,0.991145,0.010761,0.982161
2.060000,0.993010,0.008855,0.980645
2.070000,0.994836,0.006990,0.979162
2.080000,0.996622,0.005164,0.977710
2.090000,0.998369,0.003378,0.976290
2.100000,1.000076,0.001631,0.974902
2.110000,1.001745,-0.000076,0.973547
2.120000,1.003375,-0.001745,0.972223
2.130000,1.004966,-0.003375,0.970931
2.140000,1.006520,-0.004966,0.969670
2.150000,1.008035,-0.006520,0.968441
2.160000,1.009513,-0.008035,0.967244
2.170000,1.010954,-0.009513,0.966078
2.180000,1.012357,-0.010954,0.964943
2.190000,1.013724,-0.012357,0.963840
2.200000,1.015054,-0.013724,0.962768
2.210000,1.016349,-0.015054,0.961727
2.220000,1.017607,-0.016349,0.960716
2.230000,1.018829,-0.017607,0.959736
2.240000,1.020017,-0.018829,0.958787
2.250000,1.021169,-0.020017,0.957869
2.260000,1.022287,-0.021169,0.956981
2.270000,1.023370,-0.022287,0.956123
2.280000,1.024419,-0.023370,0.955295
2.290000,1.025434,-0.024419,0.954496
2.300000,1.026416,-0.025434,0.953728
2.310000,1.027364,-0.026416,0.952989
2.320000,1.028280,-0.027364,0.952280
2.330000,1.029163,-0.028280,0.951600
2.340000,1.030014,-0.029163,0.950949
2.350000,1.030832,-0.030014,0.950327
2.360000,1.031620,-0.030832,0.949734
2.370000,1.032376,-0.031620,0.949169
2.380000,1.033101,-0.032376,0.948633
2.390000,1.033795,-0.033101,0.948124
2.400000,1.034459,-0.033795,0.947644
2.410000,1.035093,-0.034459,0.947192
2.420000,1.035697,-0.035093,0.946767
2.430000,1.036272,-0.035697,0.946369
2.440000,1.036818,-0.036272,0.945999
2.450000,1.037335,-0.036818,0.945656
2.460000,1.037824,-0.037335,0.945339
2.470000,1.038285,-0.037824,0.945049
2.480000,1.038718,-0.038285,0.944786
2.490000,1.039124,-0.038718,0.944548
2.500000,1.039503,-0.039124,0.944337
2.510000,1.039855,-0.039503,0.944151
2.520000,1.040181,-0.039855,0.943990
2.530000,1.040481,-0.040181,0.943855
2.540000,1.040755,-0.040481,0.943745
2.550000,1.041004,-0.040755,0.943660
2.560000,1.041228,-0.041004,0.943599
2.570000,1.041427,-0.041228,0.943562
2.580000,1.041602,-0.041427,0.943550
2.590000,1.041752,-0.041602,0.943561
2.600000,1.041880,-0.041752,0.943596
2.610000,1.041984,-0.041880,0.943654
2.620000,1.042064,-0.041984,0.943735
2.630000,1.042123,-0.042064,0.943839
2.640000,1.042159,-0.042123,0.943966
2.650000,1.042173,-0.042159,0.944115
2.660000,1.042165,-0.042173,0.944286
2.670000,1.042136,-0.042165,0.944479
2.680000,1.042086,-0.042136,0.944693
2.690000,1.042016,-0.042086,0.944929
2.700000,1.041925,-0.042016,0.945186
2.710000,1.041815,-0.041925,0.945464
2.720000,1.041684,-0.041815,0.945762
2.730000,1.041535,-0.041684,0.946080
2.740000,1.041366,-0.041535,0.946419
