method,ISE,ITAE,energy,OS_pct,settle_time,J,fuzzy_score,fuzzy_grade
PID-ZN(relay),0.3717438,11.8832400,978.1399558,9.1224439,20.0000000,11.3414674,65.0000000,Fair
PID-IMC(lambda=0.3),0.4418302,0.9163999,31.6208279,14.1764784,4.6500000,0.8496785,75.0000000,Good
PID-IMC(lambda=0.5),0.5298128,1.0504182,28.5725558,9.1364357,5.3200000,0.9205802,82.5373134,Good
PID-IMC(lambda=1.0),0.7480251,1.6457329,25.5304104,0.0000000,6.6100000,1.1679025,80.0000000,Good
PID-CohenCoon,0.4793695,1.8911862,35.9583497,33.9206536,6.9500000,1.0280717,35.0000000,Poor
PID-NM,0.4046259,0.6588172,32.8606636,4.7902502,4.2000000,0.7991142,93.5000000,Excellent
SMC-ARX,556.4539494,1093.1253563,500.0000000,0.0000000,20.0000000,670.7664851,50.0000000,Fair
SMC-NM,23.4963782,217.7645071,0.2000000,0.0000000,20.0000000,45.2748289,50.0000000,Fair
ADRC-ARX,0.5496142,14.4894845,1997.6534845,0.0000000,20.0000000,21.9750975,65.0000000,Fair
ADRC-NM,0.5047050,9.3276331,2000.0000000,0.0000000,20.0000000,21.4374683,65.0000000,Fair
