time,u,y
0.0000,0.8900,0.0237
0.0100,1.1031,0.0685
0.0200,0.8166,-0.0998
0.0300,0.9752,-0.0223
0.0400,1.0785,0.0092
0.0500,0.8142,0.0017
0.0600,1.0044,-0.0109
0.0700,0.9144,0.0175
0.0800,1.0444,0.0397
0.0900,0.8464,0.0418
0.1000,1.2269,0.0297
0.1100,0.9791,0.1656
0.1200,0.5947,0.1243
0.1300,1.2239,0.0471
0.1400,1.2260,0.1009
0.1500,1.0746,0.0815
0.1600,1.1132,0.0910
0.1700,0.8591,0.1640
0.1800,0.9077,0.1957
0.1900,1.0133,0.2886
0.2000,1.1397,0.2080
0.2100,0.9657,0.3386
0.2200,1.1571,0.3190
0.2300,1.5312,0.4154
0.2400,1.0922,0.2863
0.2500,1.0172,0.4275
0.2600,0.8313,0.4200
0.2700,0.8973,0.4401
0.2800,0.6874,0.5330
0.2900,0.8409,0.5536
0.3000,1.1397,0.5866
0.3100,1.0347,0.5999
0.3200,0.9664,0.6104
0.3300,1.2330,0.6198
0.3400,1.2424,0.6159
0.3500,1.2467,0.7637
0.3600,0.5911,0.7234
0.3700,1.2139,0.8486
0.3800,0.8770,0.7807
0.3900,1.0666,0.8768
0.4000,0.9880,1.0227
0.4100,1.1922,1.0051
0.4200,1.0595,0.9492
0.4300,0.7944,1.0747
0.4400,1.0272,1.1466
0.4500,1.1216,1.1765
0.4600,0.7066,1.2014
0.4700,1.1785,1.2081
0.4800,0.9170,1.2889
0.4900,0.7203,1.3950
0.5000,0.9345,1.3969
0.5100,0.8277,1.4862
0.5200,0.7301,1.5238
0.5300,0.7962,1.5103
0.5400,1.3890,1.5837
0.5500,0.9693,1.6455
0.5600,0.9034,1.6403
0.5700,0.8860,1.8680
0.5800,0.9969,1.9069
0.5900,0.9945,1.8760
0.6000,0.8483,1.9896
0.6100,1.0915,2.0756
0.6200,0.9840,2.1971
0.6300,0.9517,2.2474
0.6400,0.5002,2.3723
0.6500,1.2961,2.3979
0.6600,0.9571,2.4461
0.6700,0.8622,2.4539
0.6800,1.0712,2.6226
0.6900,0.9956,2.6208
0.7000,0.9114,2.8174
0.7100,1.0756,2.8071
0.7200,0.9167,2.9232
0.7300,1.1715,2.9261
0.7400,0.8928,3.0834
0.7500,1.2193,3.0290
0.7600,1.0964,3.2033
0.7700,1.1853,3.3740
0.7800,1.3745,3.4063
0.7900,1.0793,3.5114
0.8000,1.0026,3.6433
0.8100,1.0756,3.7705
0.8200,0.9706,3.9016
0.8300,1.0361,3.9108
0.8400,1.0217,4.1233
0.8500,1.0212,4.1818
0.8600,1.1306,4.2191
0.8700,1.2205,4.4912
0.8800,0.8029,4.4128
0.8900,0.7812,4.6436
0.9000,0.9990,4.7903
0.9100,0.9233,4.8903
0.9200,1.1734,5.1022
0.9300,1.1917,5.1252
0.9400,1.4547,5.3878
0.9500,1.0294,5.4305
0.9600,0.9977,5.6465
0.9700,1.0827,5.8489
0.9800,1.2601,6.0032
0.9900,0.7313,6.1395
1.0000,-0.5009,6.3565
1.0100,-0.8142,6.4687
1.0200,-0.8567,6.6345
1.0300,-0.5486,6.8147
1.0400,-0.5255,7.0681
1.0500,-0.4317,7.2135
1.0600,-0.6899,7.3060
1.0700,-0.6194,7.4010
1.0800,-0.7683,7.6094
1.0900,-0.8243,7.9162
1.1000,-0.6710,8.0727
1.1100,-0.7054,8.1898
1.1200,-0.4163,8.3080
1.1300,-0.6456,8.6098
1.1400,-0.8103,8.7409
1.1500,-0.6021,8.9815
1.1600,-0.6112,9.0912
1.1700,-0.5255,9.4702
1.1800,-0.7400,9.5824
1.1900,-0.2597,9.7907
1.2000,-0.4291,10.0450
1.2100,-0.8761,10.1888
1.2200,-0.2579,10.4180
1.2300,-0.5302,10.5995
1.2400,-0.6531,10.8311
1.2500,-0.4155,11.0348
1.2600,-0.6715,11.4666
1.2700,-0.3320,11.5925
1.2800,-0.8098,11.8902
1.2900,-0.5686,12.1703
1.3000,-0.0731,12.4907
1.3100,-0.4546,12.6573
1.3200,-0.4827,12.9254
1.3300,-0.6186,13.2319
1.3400,-0.5561,13.5099
1.3500,-0.6208,13.8915
1.3600,-0.0774,14.1265
1.3700,-0.5997,14.4821
1.3800,0.1374,14.8250
1.3900,-0.4832,15.1817
1.4000,-0.4312,15.4709
1.4100,-0.3148,15.8362
1.4200,-0.7069,16.1609
1.4300,-0.4591,16.5207
1.4400,-0.2726,16.8090
1.4500,-0.4106,17.2732
1.4600,-0.6766,17.6089
1.4700,-0.6399,18.0193
