t,theta_ts,theta_dot_ts,u_ts,theta_base,u_base,w1,w2
0.00000,0.38519,-2.96180,-15.00000,0.38519,-15.00000,0.02931,0.97069
0.00500,0.35571,-5.89532,-15.00000,0.35571,-15.00000,0.03663,0.96337
0.01000,0.31170,-8.80220,-15.00000,0.31170,-15.00000,0.05673,0.94327
0.01500,0.25328,-11.68410,-15.00000,0.25328,-15.00000,0.10655,0.89345
0.02000,0.18057,-14.54267,-15.00000,0.18057,-15.00000,0.22834,0.77166
0.02500,0.09367,-17.37963,-15.00000,0.09367,-15.00000,0.47835,0.52165
0.03000,-0.00731,-20.19666,-15.00000,-0.00731,-15.00000,0.77990,0.22010
0.03500,-0.12229,-22.99541,-15.00000,-0.12229,-15.00000,0.93141,0.06859
0.04000,-0.24803,-25.14785,-11.85216,-0.24664,-10.46568,0.69423,0.30577
0.04500,-0.35895,-22.18379,13.68330,-0.36039,9.47854,0.24306,0.75694
0.05000,-0.45393,-18.99642,15.00000,-0.45818,15.00000,0.05410,0.94590
0.05500,-0.53318,-15.84947,15.00000,-0.54020,15.00000,0.01288,0.98712
0.06000,-0.59688,-12.74084,15.00000,-0.60666,15.00000,0.00379,0.99621
0.06500,-0.64522,-9.66857,15.00000,-0.65773,15.00000,0.00141,0.99859
0.07000,-0.67838,-6.63088,15.00000,-0.69359,15.00000,0.00067,0.99933
0.07500,-0.69651,-3.62613,15.00000,-0.71441,15.00000,0.00040,0.99960
0.08000,-0.69977,-0.65280,15.00000,-0.72034,15.00000,0.00030,0.99970
0.08500,-0.68832,2.29054,15.00000,-0.71153,15.00000,0.00028,0.99972
0.09000,-0.66229,5.20532,15.00000,-0.68813,15.00000,0.00034,0.99966
0.09500,-0.62183,8.09294,15.00000,-0.65028,15.00000,0.00051,0.99949
0.10000,-0.56705,10.95487,15.00000,-0.59811,15.00000,0.00096,0.99904
0.10500,-0.49809,13.79263,15.00000,-0.53173,15.00000,0.00224,0.99776
0.11000,-0.41505,16.60783,15.00000,-0.45126,15.00000,0.00652,0.99348
0.11500,-0.31804,19.40220,15.00000,-0.35681,15.00000,0.02334,0.97666
0.12000,-0.20715,22.17750,15.00000,-0.24848,15.00000,0.09752,0.90248
0.12500,-0.08248,24.93555,15.00000,-0.12635,15.00000,0.37750,0.62250
0.13000,0.05591,27.67811,15.00000,0.00949,15.00000,0.80834,0.19166
0.13500,0.20795,30.40681,15.00000,0.15898,15.00000,0.86441,0.13559
0.14000,0.37303,33.01707,14.47038,0.32206,15.00000,0.37460,0.62540
0.14500,0.52165,29.72265,-15.00000,0.47797,-5.68670,0.04392,0.95608
0.15000,0.65402,26.47431,-15.00000,0.61755,-15.00000,0.00453,0.99547
0.15500,0.77037,23.26925,-15.00000,0.74102,-15.00000,0.00058,0.99942
0.16000,0.87089,20.10487,-15.00000,0.84858,-15.00000,0.00010,0.99990
0.16500,0.95578,16.97886,-15.00000,0.94043,-15.00000,0.00002,0.99998
0.17000,1.02523,13.88920,-15.00000,1.01677,-15.00000,0.00001,0.99999
0.17500,1.07940,10.83417,-15.00000,1.07775,-15.00000,0.00000,1.00000
0.18000,1.11846,7.81232,-15.00000,1.12356,-15.00000,0.00000,1.00000
0.18500,1.14257,4.82243,-14.99999,1.15436,-15.00000,0.00000,1.00000
0.19000,1.15189,1.86345,-14.99998,1.17029,-15.00000,0.00000,1.00000
0.19500,1.14656,-1.06556,-14.99998,1.17152,-15.00000,0.00000,1.00000
0.20000,1.12674,-3.96550,-14.99998,1.15818,-15.00000,0.00000,1.00000
0.20500,1.09255,-6.83726,-14.99999,1.13043,-15.00000,0.00000,1.00000
0.21000,1.04414,-9.68179,-15.00000,1.08840,-15.00000,0.00000,1.00000
0.21500,0.98164,-12.50016,-15.00000,1.03223,-15.00000,0.00000,1.00000
0.22000,0.90517,-15.29360,-15.00000,0.96203,-15.00000,0.00000,1.00000
0.22500,0.81485,-18.06351,-15.00000,0.87795,-15.00000,0.00001,0.99999
0.23000,0.71080,-20.81149,-15.00000,0.78008,-15.00000,0.00005,0.99995
0.23500,0.59310,-23.53937,-15.00000,0.66853,-15.00000,0.00024,0.99976
0.24000,0.46185,-26.24915,-15.00000,0.54340,-15.00000,0.00150,0.99850
0.24500,0.31714,-28.94294,-15.00000,0.40478,-15.00000,0.01141,0.98859
0.25000,0.15903,-31.62292,-15.00000,0.25274,-15.00000,0.09876,0.90124
0.25500,-0.01243,-34.29115,-15.00000,0.08734,-15.00000,0.56181,0.43819
